name,address,latitude,longitude,games,cabs,source
AMUSE,"16 WITCOMBE STREET, ADELAIDE, SA5000",-34.9299206,138.5947976,chunithm;gitadora;jubeat;maimai_dx;other;sdvx,,allnet;ziv
Arcadia Bar,"9 Fifth Lane Mackay Queensland, 4740, Mackay",-21.1421046,149.1855143,ddr;other,,ziv
ARCHIE BROTHERS CCW,"285 Springvale Road, Glen Waverley, Victoria, Australia, 3150",-37.8812875,145.1647251,ddr;maimai_dx;other;taiko,,allnet;ziv
Archie Brothers Cirque Electriq,"585 High Street Westfield Shopping Centre, 585 High St, Penrith Penrith New South Wales, 2750, Penrith",-33.7504814,150.6935249,other;taiko,,ziv
Archie Brothers Cirque Electriq Alexandria,"75 O'Riordan Street Alexandria New South Wales, 2015, Alexandria",-33.9165895,151.1930308,other;taiko,,ziv
Archie Brothers Cirque Electriq Bowen Hills,"3/30 King Street Bowen Hills Queensland, 4006, Bowen Hills",-27.4520217,153.0330422,other,,ziv
Archie Brothers Cirque Electriq Chadstone,"1341 Dandenong Rd Service Rd Malvern East Victoria, 3147, Malvern East",-37.8843548,145.0826168,ddr;other;taiko,,ziv
Archie Brothers Cirque Electriq Melbourne Docklands,"440 Docklands Drive Docklands Victoria, 3008, Docklands",-37.8121484,144.9366159,ddr;other;taiko,,ziv
Archie Brothers Cirque Electriq Moorabbin,"13-15 Cochranes Rd Moorabbin Victoria, 3189, Moorabbin",-37.9420696,145.0636645,other;taiko,,ziv
Archie Brothers Cirque Electriq QV Melbourne,"Level 3 QV Shopping Centre 222 Lonsdale Street Melbourne VIC, 3000, Melbourne",-37.8107947,144.9652084,ddr;maimai_dx;other;sdvx;taiko,,ziv
Archie Brothers Cirque Electriq Rundle Place,"77/91 Rundle Mall Level 1 Adelaide South Australia, 5000, Adelaide",-34.9229085,138.6029239,other;taiko,,ziv
Archie Brothers Cirque Electriq Surfers Paradise,"Suite 2, Level 1 Piazza on the Boulevard Surfers Paradise Queensland, 4217, Surfers Paradise",-27.9987603,153.4290665,other;taiko,,ziv
Archie Brothers Entertainment Quarter,"122 Lang Road Moore Park New South Wales, 2021, Moore Park",-33.8945800,151.2271848,other,,ziv
Archie Brothers Karrinyup,"200 Karrinyup Road Karrinyup Western Australia, 6018, Karrinyup",-31.8772119,115.7767826,ddr;other;taiko,,ziv
Archie Brothers Perth,"401 Wellington Street Perth Western Australia, 6000, Perth",-31.9523346,115.8607302,ddr;other,,ziv
Archie Brothers Point Cook,"36 Wallace Avenue Point Cook Victoria, 3030, Point Cook",-37.8720925,144.7474909,ddr;other;taiko,,ziv
Archie Brothers Wollongong,"200 Crown St Wollongong NSW, 2500, Wollongong",-34.4248414,150.8937379,other;taiko,,ziv
B.LUCKY&SONS MELBOURNE,"Level 3, 211 Latrobe St., Melrourne, Vic,3000",-37.8105556,144.9630556,ddr;maimai_dx;other;sdvx;taiko,,allnet;ziv
Barcadia,"12 Lake Street Northbridge Western Australia, 6003, Northbridge",-31.9483661,115.8567021,ddr;other;taiko,,ziv
Bartronica,"335 Flinders Lane Melbourne VIC 3000 Melbourne Victoria, 3000, Melbourne",-37.8178427,144.9632332,other,,ziv
Bazinga Trading & Arcade Centre,"Level 1/10 Unity Way Munno Para South Australia, 5115, Munno Para",-34.6715844,138.6817287,ddr;other,,ziv
Caribbean Rollerama,"1298 Ferntree Gully Road Scoresby Victoria, 3179, Scoresby",-37.8999614,145.2261029,ddr;other,,ziv
Chuck E Cheese Australia (Joondalup),"7 Winton Rd Joondalup WA 6027, Joondalup WA",-31.7507818,115.7655278,other,,ziv
Dave & Buster's (Clarkson),"61 Key Largo Drive Clarkson Western Australia, 6030, Clarkson",-31.6919777,115.7211077,other,,ziv
Dave & Buster's (Clarkson),"Tenancy 11/61 Key Largo Dr Clarkson Western Australia, 6030, Clarkson",-31.6923885,115.7181278,other,,ziv
Dreamworld,"Dreamworld Parkway Coomera Gold Coast Queensland (QLD), 4209, Gold Coast",-27.8637931,153.3155362,ddr;other,,ziv
Empire Alternacade and Events - Cairns,"86 Sheridan Street Cairns City Queensland, 4870, Cairns City",-16.9294580,145.7709843,other,,ziv
Entertainment Park,"361 Milperra Road Bankstown NSW, 2200, Bankstown",-33.9284146,150.9903109,maimai_dx;other;taiko,,ziv
FORTRESS MELBOURNE,"23 CALEDONIAN LANE, MELBOURNE, VICTORIA, AUSTRALIA 3000",-37.8121261,144.9640502,ddr;maimai_dx;other;taiko,,allnet;ziv
Fun Planet,"12 Stewart Street Shepparton Victoria, 3630, Shepparton",-36.3803462,145.4015036,other,,ziv
Funhouse - Carindale,"2012/1151 Creek Rd Carindale Queensland, 4152, Carindale",-27.5037602,153.1023513,ddr;other;taiko,,ziv
Funhouse - Sunnybank Plaza,"Shop 112, The Food Court, Sunnybank Plaza Shopping Centre Corner Mains & McCullough Roads, Sunnybank Brisbane Queensland (QLD), 4109, Brisbane",-27.5713131,153.0634780,ddr;maimai_dx;other;taiko,,ziv
FUNHOUSE BRISBANE CITY,"Level 3/91 Queen St, Brisbane City QLD 4000",-27.4706058,153.0248758,ddr;maimai_dx;other;taiko,,allnet;ziv
Funland Calamvale,"Shop T78 Calamvale Central Shopping Centre 662 Compton Road Calamvale Queensland, 4116, Calamvale",-27.6125537,153.0543576,other,,ziv
Funland Port Macquarie,"52 Clarence Street Port Macquarie New South Wales, 2444, Port Macquarie",-31.4293149,152.9085309,other,,ziv
Funzone Entertainment & Laser Tag Centre,"47 Charles St Rockhampton Berserker, 4701, Rockhampton",-22.9583933,152.0837402,other,,ziv
Galaxy Pool Lounge,"432/440 High St Preston Victoria, 3072, Preston",-37.7368268,145.0044197,other,,ziv
Game Lobby,"22-28 Hutchinson Street Mount Barker South Australia, 5251, Mount Barker",-35.0659771,138.8591400,ddr;other,,ziv
Game On,"575 North East Road Gilles Plains South Australia, 5086, Gilles Plains",-34.8560028,138.6556453,other,,ziv
Game Over Brisbane,"2175 Ipswich Rd Oxley QLD, 4075, Oxley",-27.5653471,152.9816148,other,,ziv
Games Station,"537 Mulgrave Road Earlville 4870, Earlville",-16.9426031,145.7403025,ddr;other,,ziv
GAMR LASER TAG & VR,"25 Fletcher Road Chirnside Park Victoria, 3116, Chirnside Park",-37.7612214,145.3138220,ddr;other,,ziv
General Public CORIO,"83a Purnell Rd Corio Victoria, 3214, Corio",-38.0754511,144.3558850,other,,ziv
General Public Frankston,"20 Playne Street Frankston Victoria, 3199, Frankston",-38.1447252,145.1214277,other;taiko,,ziv
Happydays Broadway - iPlay Australia,"21 Bay Street Glebe New South Wales, 2037, Glebe",-33.8838124,151.1941051,other,,ziv
Hi Party Box Hill,"L101, 519-521 Station St, Box Hill VIC 3128 Melbourne Victoria, 3128, Melbourne",-37.8211074,145.1225075,other,,ziv
Holey Moley Golf Club,"162 - 170 Pulteney Street Adelaide South Australia, 5000, Adelaide",-34.9256943,138.6059998,other,,ziv
Holey Moley Golf Club Northbridge,"53 Lake St Northbridge 6003, Northbridge",-31.9466568,115.8572834,ddr;other,,ziv
HOYTS Cinema Watergardens,"399 Melton Highway Taylors Lakes Victoria, 3038, Taylors Lakes",-37.6988804,144.7756716,other,,ziv
Intencity Marion,"Level 3, Marion Shopping Centre Marion Adelaide South Australia, 5046, Adelaide",-35.0169955,138.5444127,other,,ziv
Intencity Sunshine,"Sunshine Marketplace Shopping Centre Sunshine Victoria, 3020, Sunshine",-37.7822263,144.8311144,other,,ziv
"Intencity, Hobart","181 Collins Street Village Cinemas Hobart Hobart Tasmania, 7000, Hobart",-42.8857875,147.3240069,other,,ziv
iPlay - Redbank,"Shop 3330A, Redbank Plaza 1 Collingwood Drive, Redbank Ipswich Queensland (QLD), 4301, Ipswich",-27.6057014,152.8691277,other,,ziv
iPlay Adventure Coomera,"83-121 Foxwell Rd Shop MM9 Coomera Queensland, 4209, Coomera",-27.8543026,153.3153382,other;taiko,,ziv
iPlay Belconnen,"193 Benjamin Way Belconnen Australian Capital Territory, 2617, Belconnen",-35.2387515,149.0650025,ddr;other;taiko,,ziv
iPlay Cairns Central,"Cairns Central Shopping Centre Shop Q121 McLeod St Cairns City Queensland, 4870, Cairns City",-16.9252036,145.7719660,ddr;other;taiko,,ziv
IPLAY CAROUSEL,"SHOP MM223, 1382 ALBANY HWY, CANNINGTON, WA AUSTRALIA 6107",-32.0199279,115.9388969,ddr;maimai_dx;other;taiko,,allnet;ziv
iPlay Eastern Creek,"Quarter, Shop 3M02 Beggs Rd, Eastern Creek NSW 2766 Sydney 2776, Sydney",-33.7832088,150.8548769,other,,ziv
iPlay Ed Square,"52 Soldiers Parade Tenancy MM06 Edmondson Park NSW, 2174, Edmondson Park",-33.9709827,150.8582498,other;taiko,,ziv
iPlay Harbour Town,"147-189 Brisbane Road Biggera Waters Queensland, 4216, Biggera Waters",-27.9314479,153.3887773,other;taiko,,ziv
iPlay Morayfield,"171 Morayfield Road Shop M7 Morayfield Queensland, 4506, Morayfield",-27.1032767,152.9510108,other,,ziv
iPlay Tenpin City,"92/96 Parramatta Rd, Lidcombe NSW Lidcombe New South Wales, 2141, Lidcombe",-33.8495367,151.0478122,other;taiko,,ziv
iPlay Tenpin City Lidcombe,"92/96 Parramatta Rd Lidcombe New South Wales, 2141 , Lidcombe",-33.8495991,151.0475813,maimai_dx;other;taiko,,ziv
iPlay Toowoomba,"Unit 10A / LEVEL G, GRAND CENTRAL SHOPPING CENTRE DENT &, Margar Toowoomba City Queensland, 4350, Toowoomba City",-27.5610323,151.9519094,other;taiko,,ziv
iPlay TTenpin City Coffs Harbour,"74-76 Grafton St Coffs Harbour New South Wales, 2450, Coffs Harbour",-30.2956098,153.1143388,other,,ziv
iPlay Wetherill Park,"561/583 Polding St, Wetherill Park Wetherill Park 2164, Wetherill Park",-33.8569579,150.8988404,other;taiko,,ziv
iPlay Whitfords,"Marmion Ave &, Whitfords Ave Hillarys Western Australia, 6025, Hillarys",-31.7963342,115.7491315,other,,ziv
KAOS at Panthers,"123 Mulgoa Road Penrith New South Wales, 2750, Penrith",-33.7452580,150.6897013,other,,ziv
Kapow! Entertainment,"Shp 309, Logan Hyperdome Cnr Pacific Hwy & Bryants Rd, Loganholme Logan Queensland (QLD), 4129, Logan",-27.6587549,153.1705633,other,,ziv
Karting Madness Braybrook,"234 Ballarat Road Braybrook Victoria, 3019, Braybrook",-37.7804410,144.8634508,other,,ziv
Karting Madness Braybrook/2 3 4 Fun Galore,"234 Ballarat Road Braybrook Victoria, 3019, Braybrook",-37.7804501,144.8634535,maimai_dx;other,,ziv
Kingpin Bowling Chermside,"899 Gympie Road Chermside Queensland, 4032, Chermside",-27.3836135,153.0319262,ddr;maimai_dx;other;taiko,,ziv
Kingpin Bowling Norwood,"11 Osmond Terrace Norwood South Australia, 5067, Norwood",-34.9165750,138.6311511,drs;other;taiko,,ziv
Kingpin Bowling Townsville,"16 High Range Drive Thuringowa Townsville Queensland (QLD), 4187, Townsville",-19.3200174,146.7258416,ddr;gitadora;other;taiko,,ziv
Kingpin Canberra,"Bunda Street Canberra Australian Capital Territory, 2601, Canberra",-35.2779051,149.1326326,drs;maimai_dx;other;taiko,,ziv
Kingpin Crown,"Ground, Crown Metropol 8 Whiteman Street Southbank Victoria, 3006, Southbank",-37.8248818,144.9581727,chunithm;ddr;maimai_dx;other;sdvx;taiko,,ziv
Kingpin Darwin,"1 Neale St Darwin City 0820, Darwin City",-12.4372471,130.9275055,other,,ziv
Kingpin Macarthur,"200 Gilchrist Drive Kellicar Rd Campbelltown New South Wales, 2560, Campbelltown",-34.0750036,150.7968646,other;taiko,,ziv
KINGPIN MELBOURNE,"260 Collins St, MELBOURNE VIC 3000",-37.8152725,144.9650986,chunithm;ddr;drs;maimai_dx;other;taiko,,allnet;ziv
KINGPIN NORTH STRATHFIELD,"Building H3/3-5 George St, North Strathfield NSW 2137",-33.8632365,151.0889051,ddr;maimai_dx;other;taiko,,allnet;ziv
KOKO AMESEMENT HORNSBY,Shop 4000-1/236 Pacific Hwy Horsby NSW 2077,-33.7043415,151.1006823,ddr;maimai_dx;other;taiko,,allnet;ziv
Koko Amusement 591,"591 George Street Sydney NSW, 2000, Sydney",-33.8772701,151.2053597,other,,ziv
KOKO AMUSEMENT 614,Basement 614 George ST Sydney NSW 2000,-33.8757593,151.2067759,chunithm;ddr;drs;gitadora;iidx;maimai_dx;other;popn;sdvx;taiko,,allnet;ziv
Koko Amusement Bankstown,"Level 1/462 Chapel Rd Bankstown New South Wales, 2200, Bankstown",-33.9134489,151.0340953,other,,ziv
KOKO AMUSEMENT BURWOOD,"lot29 27-31 belmore St,.Burwood,2134,NSW",-33.8784196,151.1021580,chunithm;ddr;drs;maimai_dx;other;taiko,,allnet;ziv
Koko Amusement Chatswood,"88 Archer Street Chatswood NSW, 2067, Chatswood",-33.7950015,151.1849105,other,,ziv
KOKO Amusement City Heroes,"505 George Street Shop 6 Sydney New South Wales, 2000, Sydney",-33.8750989,151.2062354,jubeat;maimai_dx;ongeki;other;popn;sdvx;taiko,,ziv
Koko Amusement Haymarket,"1 Dixon Street Sydney New South Wales, 2000, Sydney",-33.8773102,151.2037879,maimai_dx;other;taiko,,ziv
